id,aircraft_registration_number,aircraft_type,flight_number,departure_airport,departure_datetime,arrival_airport,arrival_datetime
1,ZX-IKD,350,M645,HEL,2024-01-02 21:46:27,DXB,2024-01-03 02:31:27
2,ZW-TNZ,787,K319,SFO,2023-03-25 15:55:27,DXB,2023-03-25 17:53:27
3,AT-DKP,320,U140,OUL,2023-04-17 07:18:27,CDG,2023-04-17 11:02:27
4,MZ-ZCP,320,J630,HND,2023-08-21 06:15:27,CDG,2023-08-21 07:53:27
5,ZT-GYN,350,V456,CDG,2024-01-05 06:13:27,SFO,2024-01-05 16:37:27
6,RX-JGD,350,Q321,HND,2023-10-10 20:57:27,CDG,2023-10-11 00:24:27
7,RT-API,320,W127,JFK,2023-10-08 10:42:27,AMS,2023-10-09 00:28:27
8,OT-GOS,350,S901,HEL,2024-01-03 21:23:27,LHR,2024-01-03 22:42:27
9,EG-HRT,787,G443,LHR,2023-03-08 23:15:27,DXB,2023-03-09 11:26:27
10,YX-BNR,320,U466,LHR,2023-06-05 11:37:27,SFO,2023-06-05 22:41:27
11,AP-ZYN,787,P276,DXB,2023-10-19 01:17:27,HEL,2023-10-19 10:45:27
12,IQ-WLZ,350,M760,CDG,2023-11-04 05:24:27,OUL,2023-11-04 10:28:27
13,GU-HLG,320,V762,DXB,2024-01-28 04:32:27,HND,2024-01-28 07:02:27
14,RM-CEZ,350,T920,LHR,2023-12-27 22:17:27,OUL,2023-12-28 03:02:27
15,RH-HUP,787,U222,FRA,2023-03-07 11:22:27,LHR,2023-03-07 17:19:27
16,UU-KRY,320,Y516,JFK,2023-06-13 10:00:27,OUL,2023-06-13 13:29:27
17,FW-YFC,787,Y469,LHR,2023-11-15 00:23:27,AMS,2023-11-15 02:43:27
18,SB-VRD,787,M414,OUL,2023-11-13 11:04:27,SFO,2023-11-13 21:37:27
19,NC-GHF,320,R891,JFK,2023-08-27 07:02:27,HEL,2023-08-27 09:24:27
20,LT-OGA,787,A600,AMS,2023-12-22 20:13:27,LHR,2023-12-23 01:48:27
21,MV-GWX,320,E310,OUL,2023-12-04 11:10:27,CDG,2023-12-04 12:40:27
22,HW-UWW,787,Q218,FRA,2023-04-24 22:51:27,HEL,2023-04-25 01:09:27
23,HO-JEF,787,T987,HEL,2023-08-19 17:13:27,DXB,2023-08-19 20:27:27
24,TJ-MTD,320,M516,HND,2023-03-30 09:49:27,AMS,2023-03-30 20:23:27
25,BZ-DJK,787,Z246,OUL,2023-03-24 05:36:27,HND,2023-03-24 08:49:27
26,IG-XJC,320,F704,FRA,2024-01-05 12:50:27,CDG,2024-01-05 23:07:27
